English words/sentences,Vietnamese words/sentences
My physics teacher doesn't care if I skip classes.,Thầy vật lý không để ý đến việc lên lớp của tôi.
My physics teacher doesn't care if I skip classes.,Giáo viên vật lý của tôi không quan tâm nếu tôi bỏ tiết học
I wish I could go to Japan.,tôi ước tôi có thể tới nhật bản
I wish I could go to Japan.,Tôi ước tôi có thể đến Nhật Bản
I hate it when there are a lot of people.,Tôi ghét những lúc đông người.
I hate it when there are a lot of people.,tôi ghét nó khi có nhiều người
I have to go to bed.,tôi phải đi ngủ
I have to go to bed.,Tôi phải đi ngủ
I won't ask you anything else today.,tôi sẽ không hỏi bạn bất cứ điều gì khác hôm nay
I won't ask you anything else today.,Tôi sẽ không hỏi bạn bất cứ thứ gì khác hôm nay
It may freeze next week.,nó có thể đóng băng vào tuần tới
It may freeze next week.,Nó có thể lạnh vào tuần tới
"Even though he apologized, I'm still furious.","mặc dù anh ấy đã xin lỗi, tôi vẫn tức giận"
"Even though he apologized, I'm still furious.","Mặc dù anh ấy đã xin lỗi, nhưng tôi vẫn rất giận dữ"
The police will get you to find the bullets.,Cảnh sát sẽ bắt bạn tìm ra mấy viên đạn.
That wasn't my intention.,đó không phải ý định của tôi
That wasn't my intention.,Đó không phải là chủ ý cùa tôi
Thanks for your explanation.,Cảm ơn lời giải thích của bạn.
Thanks for your explanation.,Cảm ơn bạn đã giải thích giúp tôi.
Thanks for your explanation.,cảm ơn vì giải thích của bạn
Thanks for your explanation.,Cảm ơn về lời giải thích của bạn
I don't know what you mean.,Tôi không biết ý của bạn là gì.
I don't know what you mean.,tôi không biết ý của bạn
I don't know what you mean.,Tôi không biết bạn nghĩ gì
You wanted to tell me about freedom?,Bạn muốn nói với tôi về sự tự do hả?
There are many words that I don't understand.,Có nhiều từ mà tôi không hiểu.
There are many words that I don't understand.,Có rất nhiều từ mà tôi không hiểu
I need to ask you a silly question.,Tôi cần hỏi một câu hỏi ngớ ngẩn.
I need to ask you a silly question.,Tôi cần hỏi bạn 1 câu hỏi ngớ ngẩn
"I don't know how to demonstrate it, since it's too obvious!","Tôi không biết phải trình bày thế nào, bởi vì nó đã quá rõ ràng rồi."
Can it be phrased in another way?,Có thể nói cách khác được không?
Can it be phrased in another way?,Nó có thể được diễn đạt theo cách khác không
No one will know.,Không 1 ai sẽ biết
"I found a solution, but I found it so fast that it can't be the right solution.","Tôi đã tìm ra cách, nhưng mà tìm ra nhanh thế này thì chắc hẳn đó không phải là cách hay rồi."
It seems interesting to me.,Nó có vể thú vị với tôi.
It seems interesting to me.,Nó dường như thú vị đến tôi
"Except that here, it's not so simple.","Nhưng ở đây, không dễ dàng như vậy đâu."
"Except that here, it's not so simple.",Nhưng ở đây thì nó không đơn giản như vậy đâu.
I like candlelight.,Tôi thích ánh nến.
I like candlelight.,tôi thích ánh nến
What did you answer?,Bạn đã trả lời thế nào?
What did you answer?,Bạn đã trả lời như thế nào?
What did you answer?,Bạn đã hỏi gì vậy
"No, he's not my new boyfriend.","Không, anh ấy không phải bạn trai mới của tôi."
You never have class or what?!,Bạn không bao giờ có lớp hay sao?
Where is the problem?,Vấn đề ở đâu?
Where is the problem?,Vấn đề nằm ở đâu?
Where is the problem?,Vấn đề ở đâu
I can only wait.,Tôi chỉ còn cách chờ đợi mà thôi.
I can only wait.,Tôi chỉ còn cách chờ đợi.
"It's not much of a surprise, is it?","Nó không nhiều ngạc nhiên, đúng không?"
"It's not much of a surprise, is it?",Nó không quá ngạc nhiên phải không
I love you.,Em yêu anh!
I love you.,Anh phải lòng em.
I love you.,Tôi thích bạn.
I don't like you anymore.,Tao không thích mày nữa.
I don't like you anymore.,Tôi không thích bạn nữa.
I don't like you anymore.,Tôi không thích bạn nữa
I am curious.,Tôi tò mò.
I am curious.,Tôi tò mò
Congratulations!,Xin chúc mừng!
Congratulations!,Chúc mừng!
Congratulations!,Chúc mừng
Congratulations!,Chúc mừng nhé!
I don't want to wait that long.,Tôi không muốn đợi lâu như vậy.
I don't want to wait that long.,Tôi không muốn đợi lâu
Why don't you come visit us?,Sao bạn không tới thăm tụi tôi?
Why don't you come visit us?,Tại sao bạn không đến thăm chúng tôi?
Why don't you come visit us?,Tại sao bạn không đến thăm chúng tôi
I shouldn't have logged off.,Tôi không nên đăng xuất.
I shouldn't have logged off.,Tôi không nên đăng xuất
I don't know what to do anymore.,Tôi không còn biết phải làm gì nữa.
I don't know what to do anymore.,Tôi không biết phải làm gì nữa.
I don't know what to do anymore.,Tôi không biết làm gì nữa
I hate chemistry.,Tôi ghét hóa học.
I hate chemistry.,Tôi ghét hóa học
I didn't want this to happen.,Tôi cũng không muốn vụ này xảy ra.
I didn't want this to happen.,Tôi không muốn điều này xảy ra.
I didn't want this to happen.,Tôi không muốn điều này xảy ra
You can probably guess what happens though.,Chắc bạn cũng đoán được cái gì xảy ra mà.
What other options do I have?,Tôi còn có sự chọn lựa nào khác nữa?
What other options do I have?,Tôi có những lựa chọn nào khác
I have nothing better to do.,Tôi không có gì tốt hơn để làm hết.
I have nothing better to do.,Tôi không có thứ gì tốt hơn để làm
I can't explain it either.,Tôi cũng không giải thích được.
I can't explain it either.,Tôi cũng không thể giải thích nó
Everyone has strengths and weaknesses.,Người nào cũng có cái hay và cái dở của họ.
Everyone has strengths and weaknesses.,Mọi người có điểm mạnh và điểm yếu.
It's not something anyone can do.,Đó không phải là điều mà ai cũng có thể làm.
It's not something anyone can do.,Đó không phải thứ gì bất cứ ai có thể làm
I don't know if I still have it.,Không biết là tôi còn không nữa.
I don't know if I still have it.,Tôi không biết liệu tôi vẫn có nó
What do you think I've been doing?,Bạn nghĩ tôi đang làm gì?
What do you think I've been doing?,Bạn nghĩ tôi đang làm gì
My mom doesn't speak English very well.,Mẹ của tôi không nói tiếng Anh giỏi lắm.
My mom doesn't speak English very well.,Mẹ tôi nói tiếng Anh không giỏi lắm.
My mom doesn't speak English very well.,Mẹ tôi nói tiếng Anh không được giỏi cho lắm.
My mom doesn't speak English very well.,Mẹ tôi không nói tiếng anh giỏi
I was wondering if you were going to show up today.,Tôi đang tự hỏi rằng bạn sẽ đến hôm nay không
How do you find food in outer space?,Làm sao để tìm được thức ăn khi đang ở ngoài không gian?
How do you find food in outer space?,Làm sao để tìm thức ăn ngoài vũ trụ?
All you can do is trust one another.,Tất cả bạn có thể làm là tin tưởng lẫn nhau.
All you can do is trust one another.,Tất cả các bạn có thể làm là tin tưởng 1 ai đó
Everyone wants to meet you. You're famous!,Mọi người muốn gặp bạn vì bạn nổi tiếng!
Everyone wants to meet you. You're famous!,Mọi người muốn gặp bạn. bạn nổi tiếng!
Everyone wants to meet you. You're famous!,mọi người muốn gặp bạn.Bạn rất nổi tiếng
Why are you sorry for something you haven't done?,Tại sao bạn hối tiếc vì điều bạn chưa làm được?
I utterly despise formal writing!,Tôi rất ghét phải viết theo khuôn mẫu!
What keeps you up so late?,Bạn làm gì mà thức khuya quá vậy?
What keeps you up so late?,Điều gì khiến bạn thức khuya vậy
You'd be surprised what you can learn in a week.,Bạn nên ngạc nhiên về những thữ bạn có thể học trong 1 tuần
I don't have anyone who'd travel with me.,Tôi không có bất cứ 1 ai đi du lịch cùng tôi
You're not fast enough.,Bạn không đủ nhanh.
You're not fast enough.,Bạn chưa đủ nhanh
"Life is hard, but I am harder.","Cuộc sống thì khó khăn đấy, nhưng tôi mạnh mẽ hơn nó nhiều."
Stop it! You're making her feel uncomfortable!,Đừng! Mày đang làm cô ấy bực bội đấy.
Nothing is beautiful but the truth.,Chỉ có sự thật là tốt đẹp.
"Tomorrow, he will land on the moon.","Ngày mai, anh ấy sẽ đặt chân lên mặt trăng"
I don't speak Japanese.,Tôi không biết nói tiếng Nhật.
I don't speak Japanese.,Tôi không nói tiếng Nhật.
I don't speak Japanese.,Tôi không nói được tiếng nhật
This is a pun.,Đó là một cách chơi chữ.
This is a pun.,Đây là 1 lời nói đùa cợt
Nobody understands me.,Không ai hiểu được tôi hết.
Nobody understands me.,Không 1 ai hiểu tôi
I learned to live without her.,Tôi đã học cách để sống không có cô ấy
I have too many things on my mind these days.,Tôi có quá nhiều thứ trong suy nghĩ của tôi mấy ngày nay
I just wanted to check my email.,Tôi chỉ muốn kiểm tra hòm thư điện tử thôi.
I just wanted to check my email.,Tôi chỉ muốn kiếm tra email của tôi
It would take me too much time to explain to you why it's not going to work.,Tôi sẽ mất quá nhiều thời gian hơn để giải thích cho bạn tại sao nó không làm việc
"Stop seeing me as a ""normal"" person!","Đừng coi tôi như người ""bình thường""!"
Are you referring to me?,Bạn đang nói về tôi à?
Are you referring to me?,Bạn đang đề cập đến tôi à
It can't be!,Nó không thể
Would you like something to drink?,Bạn có muốn thức uống gì không?
Would you like something to drink?,Bạn có muốn thứ gì đó để uống không
"""What's going on in the cave? I'm curious."" ""I have no idea.""","""Trong hang đang xảy ra chuyện gì vậy? Tôi rất là tò mò."" ""Tôi cũng không biết nữa."""
"""What's going on in the cave? I'm curious."" ""I have no idea.""","""Có chuyện gì đang xảy ra bên trong cái hang nhỉ? Tôi tò mò quá!"" ""Tôi có biết gì đâu."""
"""What's going on in the cave? I'm curious."" ""I have no idea.""","""Có chuyện gì đang xảy ra bên trong cái hang đó nhỉ? Tôi tò mò quá đi mất!"" ""Tôi có biết cái gì đâu."""
"""What's going on in the cave? I'm curious."" ""I have no idea.""","""Có chuyện gì đang xảy ra bên trong cái hang đó nhỉ? Tôi tò mò quá đi mất thôi!"" ""Tôi không biết gì đâu."""
Uh... How's that working?,Ờ... cái đó sao rồi?
"""To tell you the truth, I am scared of heights."" ""You are a coward!""","""Nói thật là tôi rất là sợ độ cao."" ""Bạn nhát quá!"""
"""Trust me,"" he said.","""Tin tôi đi,"" anh ấy nói."
"""This is what I was looking for!"" he exclaimed.","""Đây đúng là thứ mà tôi đang tìm"" anh ta kêu lên."
Someday I'll run like the wind.,Sẽ có một ngày tôi sẽ chạy nhanh như gió.
Please don't cry.,Làm ơn đừng khóc.
Please don't cry.,làm ơn đừng khóc
Let me know if there is anything I can do.,Cần gì thì cứ việc nói với tôi.
Let me know if there is anything I can do.,Hãy cho tôi biết nếu có bất cứ điều gì tôi có thể làm.
Let me know if there is anything I can do.,Hãy cho tôi biết liệu rằng có bất cứ thứ gì tôi có thể làm
Class doesn't begin until eight-thirty.,Lớp không bắt đầu cho đến 8 rưỡi
I want a boat that will take me far away from here.,Tôi muốn một chiếc thuyền sẽ đưa tôi đi xa khỏi nơi đây.
I want a boat that will take me far away from here.,Tôi muốn 1 con tàu mà sẽ đưa tôi đi ra xa khỏi nơi đây
"""I feel like playing cards."" ""So do I.""","""Tôi muốn đánh bài."" ""Tôi cũng vậy."""
Communism will never be reached in my lifetime.,Cộng sản sẽ chẳng bao giờ tồn tại đến đời của tôi.
"If you see a mistake, then please correct it.","Nếu bạn nhìn thấy 1 lỗi , vui lòng hãy sửa nó sau đó"
Place the deck of cards on the oaken table.,Làm ơn để bộ bài trên bàn gỗ sồi.
Why don't we go home?,Sao mình không đi về đi?
Why don't we go home?,Tại sao chúng ta không về nhà
"I'm sorry, I can't stay long.","Tôi xin lỗi , tôi không thể ở lại lâu"
One million people lost their lives in the war.,Một triệu người đã ngã xuống trong cuộc chiến đó.
One million people lost their lives in the war.,Hàng triệu người đã mất mạng trong cuộc chiến tranh đó.
One million people lost their lives in the war.,1 triệu người đã mất nơi ở của họ trong chiến tranh
"Democracy is the worst form of government, except all the others that have been tried.","Trong tất cả các loại hình chính phủ, dân chủ là tệ nhất, trừ mọi chính phủ mà đã tồn tại từ xưa đến giờ."
"It wasn't me, commissioner!","Sếp à, không phải tôi đâu!"
"Oh, my white pants! And they were new.",Kìa mấy cái quần trắng của mình! Vẫn còn mới!
"When I left the train station, I saw a man.","Khi tôi ra khỏi ga xe lửa, tôi gặp một gã đàn ông."
"Well, the night is quite long, isn't it?",Đêm cũng dài quá ha?
Did you miss me?,Có nhớ tôi không?
Did you miss me?,Bạn đã nhớ tôi
Are they all the same?,Họ có giống nhau không
Thank you very much!,Cám ơn bạn nhiều nghe!
I'll take him.,Tôi sẽ đưa anh ấy
It's a surprise.,Thật ngạc nhiên
That's a good idea!,Đó là một ý kiến hay!
That's a good idea!,Đó là một ý tưởng hay!
That's a good idea!,Ý hay đấy!
That's a good idea!,Đó là 1 ý tưởng tốt
Round trip? Only one-way.,Vé khứ hồi phải không? Một chiều thôi.
It's a pity when somebody dies.,Thật là thương xót khi những người đó mất
Pull into shape after washing.,Xếp gọn gàng sau khi giặt xong.
Wash before first wearing.,Giặt trước khi mặc lần đầu.
Don't open before the train stops.,Đừng mở trước khi xe lửa ngừng lại.
Those who live in glass houses should not throw stones.,Những người mà sống trong nhà kính không nên ném đá
They say love is blind.,Họ nói yêu là mù quáng
"Oh, I'm sorry.","Ờ, xin lỗi nghe."
"Oh, I'm sorry.",ồ tôi xin lỗi
The only useful answers are those that raise new questions.,Chỉ những câu hỏi hữu ích là những câu hỏi mà có thể đặt ra những câu hỏi mới
"Poor is not the one who has too little, but the one who wants too much.",Người nghèo không phải là người có quá ít mà là người muốn quá nhiều.
"Seeing that you're not surprised, I think you must have known.","Anh có vẻ không bất ngờ nhỉ, chắc anh đã biết cả rồi."
How long does it take to get to the station?,Mất bao nhiêu thời gian để đi từ đay tới ga?
How long does it take to get to the station?,Khoảng thời gian đến trạm là bao lâu
This will be a good souvenir of my trip around the United States.,Cái này sẽ là một kỷ niệm tốt của cuộc du ngoạn xung quanh nước Mỹ.
"It is difficult to keep up a conversation with someone who only says ""yes"" and ""no"".","Rất là khó để nói chuyện với một người luôn luôn trả lời ""Có"" hay ""Không""."
"""How do you feel?"" he inquired.","""Bạn thấy sao?"" anh ấy hỏi."
It's quite difficult to master French in 2 or 3 years.,Rất là khó để thành thạo tiếng Pháp trong hai hay ba năm.
It's quite difficult to master French in 2 or 3 years.,Nó tương đối khó để thành thạo tiếng pháp trong 2 hoặc 3 năm
It's impossible for me to explain it to you.,Tôi không thế nào giải nghĩa cho bạn được.
It's impossible for me to explain it to you.,Tôi không thể giải thích cho bạn.
It's impossible for me to explain it to you.,Nó thật bất khả thi để tôi có thể giải thích nó cho bạn
I don't want to spend the rest of my life regretting it.,Tôi không muốn cả đời hối tiếc vì chuyện này.
It would be fun to see how things change over the years.,Nó rất vui để nhìn những thứ thay đổi như thế nào trong vài năm
I would never have guessed that.,Tôi cũng không đoán được.
I would never have guessed that.,Tôi sẽ không bao giờ đoán nữa
Imagination affects every aspect of our lives.,Sự tưởng tượng ảnh hưởng đến mọi khía cạnh cuộc sống của chúng ta.
Imagination affects every aspect of our lives.,Sự tưởng tượng ảnh hưởng đến mọi khía cạnh của cuộc sống chúng tôi
You'll forget about me someday.,Bạn sẽ quên chúng tôi 1 ngày nào đó
That is rather unexpected.,Điều đó khá là bất ngờ
I wonder how long it's going to take.,Tôi tự hỏi nó sẽ biết bao lâu.
I wonder how long it's going to take.,Tôi tự hỏi là mất bao lâu
I can't live without a TV.,Tôi không thể sống thiếu ti vi
I couldn't have done it without you. Thank you.,Tôi không thể hoàn thành nó mà không có bạn. Cảm ơn
Nothing is achieved without effort.,Không có gì mà đạt được mà không cần nỗ lực
Let me know if I need to make any changes.,Hãy cho tôi biết nếu tôi cần làm nhiều sự thay đổi
We can't sleep because of the noise.,Chúng tôi không ngủ được vì ồn quá.
Do whatever he tells you.,Tốt nhất là hãy làm theo mọi thứ anh ấy nói với bạn.
Do whatever he tells you.,Làm bất cứ điều gì anh ấy nói với bạn.
Do whatever he tells you.,Làm bất cứ điều gì mà anh ấy nói với bạn
I can walk to school in 10 minutes.,Tôi có thể đi bộ tới trường trong 10 phút.
I can walk to school in 10 minutes.,Tôi không thể đi bộ đến trường trong 10 phút
It took me more than two hours to translate a few pages of English.,Tôi tốn hơn hai tiếng để dịch vài trang tiếng Anh.
It took me more than two hours to translate a few pages of English.,Tôi mất hơn 2 tiếng để dịch vài trang tiếng anh
It is already eleven.,Đã mười một giờ rồi.
It is already eleven.,Đã 11 giờ rồi
What do you want?,Bạn muốn gì?
I have a bone to pick with you.,Tôi có 1 khúc xương để chọn với bạn
Do you need me to give you some money?,Bạn có cần tôi tặng 1 chút tiền không
Paris is the most beautiful city in the world.,Paris là một thành phố đẹp nhất thế giới.
I have a dream.,Tôi có ước mơ.
I have a dream.,Tôi có 1 giấc mơ
This is my friend Rachel. We went to high school together.,"Đây là bạn tôi tên Rachel, chúng tôi học trường trung học với nhau."
The cost of life increased drastically.,Giá sinh hoạt đã nhất loạt tăng.
But the universe is infinite.,Nhưng mà vũ trụ là vô tận.
But the universe is infinite.,Nhưng vũ trụ là vô hạn.
"And yet, the contrary is always true as well.","Nhưng, sự trái ngược cũng luôn luôn có lý."
You're by my side; everything's fine now.,Có em bên cạnh thì bây giờ mọi thứ đều ổn cả rồi.
What do you mean you don't know?!,Ý cậu là cậu không biết hả?!
You look stupid.,Bạn nhìn ngốc quá.
You look stupid.,Bạn trông rất ngơ
I think I'm gonna go to sleep.,Tôi nghỉ tôi sẽ đi ngủ
My name is Jack.,Tên tôi là Jack
I like it very much.,Tôi thích nó rất nhiều
How do you say that in Italian?,Trong tiếng Ý cái đó nói thế nào?
I have to go shopping. I'll be back in an hour.,Tôi đi mua sắm một chút. Một tiếng sau trở lại.
I have to go shopping. I'll be back in an hour.,Tôi sẽ đi mụa sắm. Tôi sẽ trở lại sau 1 giờ
Is it far from here?,Nó có xa nơi đây không ?
These things aren't mine!,những thứ đó không phải của tôi
"Thanks, that's all.",Cám ơn. Thôi nhé.
Would you like to dance with me?,Bạn có thích nhảy cùng tôi không
Italy is a very beautiful country.,Ý là một đất nước rất đẹp
It's not my fault!,Không phải lỗi của tôi!
I'd like to stay for one night.,Tôi muốn ở lại một đêm.
I'd like to stay for one night.,Tôi muốn ở trong 1 đêm
Is there a youth hostel near here?,Có 1 nhà trọ thanh niên nào ở gần đây không ?
Where are the showers?,phòng tắm ở đâu ?
Open your mouth!,Mở miệng ra!
Is it bad?,Nó có tồi không?
Is it bad?,Nó có tồi không
I have lost my wallet.,Tôi bị mất ví.
There are too many things to do!,Có nhiều thứ để làm quá!
There are too many things to do!,Có quá nhiều việc để làm!
There are too many things to do!,Có quá nhiều thứ để làm
Don't you even think of eating my chocolate!,Đừng có mà nghĩ đến chuyện ăn sô-cô-la của tôi!
Thanks to you I've lost my appetite.,Nhờ ơn của bạn tôi hết còn thèm ăn.
Thanks to you I've lost my appetite.,Nhờ có bạn mà tôi đã hết thèm ăn
I really need to hit somebody.,Tôi muốn đấm ai đó cho thỏa thích.
I really need to hit somebody.,Tôi cần đấm 1 vài người
Who doesn't know this problem?!,Ai lại không biết về vấn đề này?!
It's so hot that you could cook an egg on the hood of a car.,Nóng đến nỗi mà có thể luộc trứng trên nóc xe.
It's so hot that you could cook an egg on the hood of a car.,Nó quá nóng đến nỗi mà bạn có thể nấu 1 quả trứng trên mui xe
It is very hot today.,Hôm nay rất nóng.
It is very hot today.,Hôm nay quá nóng
Nobody came.,Không ai tới hết.
Nobody came.,Không ai đến.
Nobody came.,Không 1 ai đến
Look at me when I talk to you!,Làm ơn nhìn mặt tôi khi nói chuyện!
Look at me when I talk to you!,Hãy nhìn vào tôi khi tôi nói chuyện với bạn
What would the world be without women?,Thế giới sẽ như thế nào nếu không có phụ nữ
What if you gave a speech and nobody came?,Nếu bạn phát biểu nhưng không ai tới thì sao?
What if you gave a speech and nobody came?,Điều gì xảy ra nếu bạn phát biểu và không 1 ai đến
I don't know what to say to make you feel better.,Tôi không biết nói gì để làm bạn trở lên tốt hơn
I was trying to kill time.,Tôi đang cố gắng giết thời gian
How did you come up with this crazy idea?,Bạn đã phát triển với ý tưởng điên rồ đó như thế nào
I'm tired.,Tôi mệt
Who wants some hot chocolate?,Ai muốn 1 chút socola nóng không
When do we arrive?,Chúng tôi đến khi nào
"The check, please.",Vui lòng kiểm tra
And what are we going to do?,Còn chúng tôi làm gì?
I have a headache.,Tôi bị nhức đầu.
I have a headache.,Tôi bị đau đầu.
I have a headache.,Tôi bị đau đầu
I must admit that I snore.,Tôi phải nhận là tôi có ngáy...
How are you? Did you have a good trip?,Bạn khỏe không ? Bạn có 1 chuyến đi tốt chứ ?
I don't feel well.,Tôi không cảm thấy khỏe
Call the police!,Hãy gọi cho cảnh sát
She's faking sleep. That's why she's not snoring.,"Cô ấy đang giả vờ ngủ, thế nên cô ấy không ngáy."
My shoes are too small. I need new ones.,"Giày của tôi bé quá, tôi cần đôi mới."
